Feature,Importance
REG_CITY_NOT_WORK_CITY,0.08079524
EMERGENCYSTATE_MODE,0.076854855
FLAG_PHONE,0.06783778
FLAG_OWN_CAR,0.06646028
NAME_EDUCATION_TYPE,0.061638538
FLAG_DOCUMENT_3,0.05180952
CODE_GENDER,0.049466964
FLAG_OWN_REALTY,0.045964204
OBS_60_CNT_SOCIAL_CIRCLE,0.040141687
ELEVATORS_MODE,0.03813192
REGION_RATING_CLIENT,0.037942134
HOUSETYPE_MODE,0.034069218
CNT_CHILDREN,0.029213097
AMT_REQ_CREDIT_BUREAU_YEAR,0.023307107
FONDKAPREMONT_MODE,0.01969715
EXT_SOURCE_3,0.018478464
FLAG_WORK_PHONE,0.017725984
OBS_30_CNT_SOCIAL_CIRCLE,0.015760114
WEEKDAY_APPR_PROCESS_START,0.014134767
REG_CITY_NOT_LIVE_CITY,0.014036977
CNT_FAM_MEMBERS,0.012875696
NAME_INCOME_TYPE,0.011795372
AMT_REQ_CREDIT_BUREAU_QRT,0.011265098
DEF_30_CNT_SOCIAL_CIRCLE,0.0107825585
EXT_SOURCE_2,0.009848693
FLOORSMAX_MEDI,0.009536948
AMT_REQ_CREDIT_BUREAU_MON,0.009189209
NAME_TYPE_SUITE,0.008693528
REGION_RATING_CLIENT_W_CITY,0.007883469
ELEVATORS_AVG,0.0075514447
NAME_FAMILY_STATUS,0.007179476
FLOORSMAX_MODE,0.0055221464
WALLSMATERIAL_MODE,0.0051050507
OCCUPATION_TYPE,0.0050180084
DEF_60_CNT_SOCIAL_CIRCLE,0.0041506793
NAME_HOUSING_TYPE,0.0037015919
LIVE_CITY_NOT_WORK_CITY,0.0035442966
LIVINGAREA_MODE,0.0033513363
EXT_SOURCE_1,0.0031553477
ENTRANCES_MODE,0.0026572617
NONLIVINGAREA_MODE,0.0021795137
FLAG_EMP_PHONE,0.0018275422
FLOORSMIN_MODE,0.0017646884
FLOORSMIN_AVG,0.0017442834
NAME_CONTRACT_TYPE,0.0017221705
HOUR_APPR_PROCESS_START,0.0016769553
FLAG_DOCUMENT_6,0.001496953
FLOORSMIN_MEDI,0.0014613093
FLOORSMAX_AVG,0.0013560514
AMT_REQ_CREDIT_BUREAU_WEEK,0.0011748312
ENTRANCES_MEDI,0.0010950281
AMT_GOODS_PRICE,0.0010892024
LIVE_REGION_NOT_WORK_REGION,0.001057775
DAYS_LAST_PHONE_CHANGE,0.001042331
DAYS_EMPLOYED,0.0010286497
OWN_CAR_AGE,0.0009824563
AMT_CREDIT,0.0009776077
DAYS_ID_PUBLISH,0.0009513831
NONLIVINGAREA_MEDI,0.00094613637
ORGANIZATION_TYPE,0.00092124875
FLAG_DOCUMENT_8,0.00086127943
NONLIVINGAPARTMENTS_MODE,0.00082835305
REGION_POPULATION_RELATIVE,0.00081647414
DAYS_BIRTH,0.00080472184
TOTALAREA_MODE,0.0007901323
AMT_ANNUITY,0.00077680266
EMPLOYMENT_AGE_RATIO,0.00075475435
NONLIVINGAPARTMENTS_AVG,0.00071237294
FLAG_DOCUMENT_16,0.0007032958
FLAG_DOCUMENT_21,0.00069748855
FLAG_DOCUMENT_18,0.0006434699
REG_REGION_NOT_WORK_REGION,0.0006432881
FLAG_CONT_MOBILE,0.00060944725
ANNUITY_INCOME_RATIO,0.00056344445
ENTRANCES_AVG,0.00056171033
FLAG_DOCUMENT_13,0.0005551317
CREDIT_INCOME_RATIO,0.00054285594
APARTMENTS_MEDI,0.0005342075
LIVINGAREA_MEDI,0.0005082843
LIVINGAPARTMENTS_MEDI,0.0005081175
NONLIVINGAPARTMENTS_MEDI,0.0004965554
YEARS_BEGINEXPLUATATION_MEDI,0.0004905237
FLAG_DOCUMENT_5,0.00048925244
YEARS_BUILD_MODE,0.000489207
REG_REGION_NOT_LIVE_REGION,0.00048915984
AMT_REQ_CREDIT_BUREAU_DAY,0.00048664983
YEARS_BUILD_MEDI,0.00048235414
BASEMENTAREA_AVG,0.00048099068
YEARS_BEGINEXPLUATATION_MODE,0.00047528933
DAYS_REGISTRATION,0.00047122085
COMMONAREA_MEDI,0.00046109353
LIVINGAPARTMENTS_AVG,0.00045363815
APARTMENTS_MODE,0.00044656434
LANDAREA_MODE,0.0004457138
YEARS_BEGINEXPLUATATION_AVG,0.00044410717
FLAG_EMAIL,0.00043422775
BASEMENTAREA_MEDI,0.00043374472
AMT_INCOME_TOTAL,0.0004328725
LANDAREA_MEDI,0.0004318901
NONLIVINGAREA_AVG,0.0004258298
COMMONAREA_AVG,0.00041856203
COMMONAREA_MODE,0.0004175854
LANDAREA_AVG,0.00041660666
BASEMENTAREA_MODE,0.00041616888
LIVINGAREA_AVG,0.00040908586
APARTMENTS_AVG,0.0003976962
YEARS_BUILD_AVG,0.00037788466
SK_ID_CURR,0.00037723928
LIVINGAPARTMENTS_MODE,0.00037254038
FLAG_DOCUMENT_11,0.00036160104
FLAG_DOCUMENT_9,0.00027388043
ELEVATORS_MEDI,0.00018625388
FLAG_DOCUMENT_14,0.00012905052
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_12,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_10,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
